"Date","LGA","Capacity","Installations"
2001-08-01,"Quairading",0,0
2001-08-01,"Ravensthorpe",0,0
2001-08-01,"Rockingham",0,0
2001-08-01,"Serpentine-Jarrahdale",0,0
2001-08-01,"South Perth",0,0
2001-08-01,"Stirling",0,0
2001-08-01,"Subiaco",0,0
2001-08-01,"Swan",0,0
2001-08-01,"Tammin",0,0
2001-08-01,"Three Springs",0,0
2001-08-01,"Toodyay",0,0
2001-08-01,"Trayning",0,0
2001-08-01,"Victoria Park",0,0
2001-08-01,"Victoria Plains",0,0
2001-08-01,"Vincent",0,0
2001-08-01,"Wagin",0,0
2001-08-01,"Wandering",0,0
2001-08-01,"Wanneroo",0,0
2001-08-01,"Waroona",0,0
2001-08-01,"West Arthur",0,0
2001-08-01,"Westonia",0,0
2001-08-01,"Wickepin",0,0
2001-08-01,"Williams",0,0
2001-08-01,"Wongan-Ballidu",0,0
2001-08-01,"Woodanilling",0,0
2001-08-01,"Wyalkatchem",0,0
2001-08-01,"Yalgoo",0,0
2001-08-01,"Yilgarn",0,0
2001-08-01,"York",0,0
2001-09-01,"Albany",0,0
2001-09-01,"Armadale",0,0
2001-09-01,"Augusta Margaret River",0,0
2001-09-01,"Bassendean",0,0
2001-09-01,"Bayswater",0,0
2001-09-01,"Belmont",0,0
2001-09-01,"Beverley",0,0
2001-09-01,"Boddington",0,0
2001-09-01,"Boyup Brook",0,0
2001-09-01,"Bridgetown-Greenbushes",0,0
2001-09-01,"Brookton",0,0
2001-09-01,"Broomehill-Tambellup",0,0
2001-09-01,"Bruce Rock",0,0
2001-09-01,"Bunbury",0,0
2001-09-01,"Busselton",0,0
2001-09-01,"Cambridge",0,0
2001-09-01,"Canning",0,0
2001-09-01,"Capel",0,0
2001-09-01,"Carnamah",0,0
2001-09-01,"Chapman Valley",0,0
2001-09-01,"Chittering",0,0
2001-09-01,"Claremont",0,0
2001-09-01,"Cockburn",0,0
2001-09-01,"Collie",0,0
2001-09-01,"Coolgardie",0,0
2001-09-01,"Coorow",0,0
2001-09-01,"Corrigin",0,0
2001-09-01,"Cottesloe",0,0
2001-09-01,"Cranbrook",0,0
2001-09-01,"Cuballing",0,0
2001-09-01,"Cunderdin",0,0
2001-09-01,"Dalwallinu",0,0
2001-09-01,"Dandaragan",0,0
2001-09-01,"Dardanup",0,0
2001-09-01,"Denmark",0,0
2001-09-01,"Donnybrook-Balingup",0,0
2001-09-01,"Dowerin",0,0
2001-09-01,"Dumbleyung",0,0
2001-09-01,"Dundas",0,0
2001-09-01,"East Fremantle",0,0
2001-09-01,"Esperance",0,0
2001-09-01,"Fremantle",0,0
2001-09-01,"Gingin",0,0
2001-09-01,"Gnowangerup",0,0
2001-09-01,"Goomalling",0,0
2001-09-01,"Gosnells",0,0
2001-09-01,"Greater Geraldton",0,0
2001-09-01,"Harvey",0,0
2001-09-01,"Irwin",0,0
2001-09-01,"Jerramungup",0,0
2001-09-01,"Joondalup",0,0
2001-09-01,"Kalamunda",0,0
2001-09-01,"Kalgoorlie-Boulder",0,0
2001-09-01,"Katanning",0,0
2001-09-01,"Kellerberrin",0,0
2001-09-01,"Kent",0,0
2001-09-01,"Kojonup",0,0
2001-09-01,"Kondinin",0,0
2001-09-01,"Koorda",0,0
2001-09-01,"Kulin",0,0
